"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","1E-15","No"
"0x4d37f28d2db99e8d35a6c725a5f1749a085850a3","3.66843115883E-07","No"
"0xb9b9cbb21642175301b0a75c7a173fcd8e16825a","7.2189956898E-07","No"
"0xf097bcaa945d1d89d04a63c0b9eb8c01d68871c6","6.098908683E-09","No"
"0x0364c42a15c2cc3073eba1e11ee5ab0c6a1b5b40","8.9810647809557E-05","No"
"0x30916795fd3f28fa1356921bc83714927f2063fb","0.000217119460054681","No"
"0x08204ab398de6a93ec680e3f8d653475d8cb0e1f","7.257078996598E-06","No"
"0x18fe6d4af4d5d73f3ea442de64963d6f3e59df2d","8.18596491847E-07","No"
"0x52eb56bb19917293a93a0d393ae97c434a5611ea","5.799814957E-09","No"
"0x7451a3cd590ba1910e649b0f1daa85cd2f8b4577","6.6209057906E-08","No"
"0x7f667f99abb20adbb28efd3416b5ad4d55313558","1.87921392936E-07","No"
"0x92bec7f192a4044395507a37e62048bdff677b5d","5.85227326E-10","No"
"0x51ab50c35e9527163501894a20cfad31d430cae1","1.113050486705E-06","No"
"0x4c670cfae444cae2faec87abf9a68f7ca6d5ba0f","6.58198833866E-07","No"
"0x93899ec227126175d2a3d73d0a3be1a367c6bbd3","1.408762609899E-06","No"
"0x3773c5f1a800f6b804afa33a6d04f7a00e39a98d","6.791735208E-09","No"
"0x1f6b3e640f767a0aef424efda7e906e65099827b","1.020136703689E-06","No"
"0xff04c01f90a3ded994f5a6f40ba56c1274299a00","1.759514859749E-06","No"
"0xd80490fddad5b4d57fed5b649167c6b8259b63e3","0.0206647722294804","No"
"0xbad8429f711e92a96b9a9b82aa148ffd1c4df24c","1.026595487331E-06","No"
"0x80df6c991ce4f2b9aee6f5f413715e7fabebef9c","2.96248888731E-07","No"
"0x13ef61b23a30abec797883d035ffcaed01a518b1","2.0085045698E-08","No"
"0xe022bdf73d5c61b9d9392ad51a41cac0c666beb1","6.8809651714E-08","No"
"0x50b8b824bf8c4056afca55fc91fb428c8ef8e9bc","1.66826403167E-07","No"
"0xcbba6f8336b8ea7c0ee76b2b28fa46477f384126","2.06607536219E-07","No"
"0xc77c7f8c7d219e316ef2690a85e6703ea50663eb","1.514654793685E-06","No"
"0x7b81c6fa422ff0e6b06a63bb01018eb9387e3b93","7.0175909634E-08","No"
"0xed9614e6d66603e4a2ff080b58d55e3dc193bc91","9.6996086115E-08","No"
"0xcbb6aab0bb665e7e9d74254007afe6c78f1b470f","6.2386873453E-07","No"
"0x541cfb4052323af0cebccbf92d130f9d6f0d095f","1.22786656078E-07","No"
"0x5d1a54b308cb1939a6391648693822d5cd4fec35","4.27E-15","No"
"0x075ae2a6e285cf392ea993d21cabc2bb450fa939","6.07620770366E-07","No"
"0x3b40fd2c226f909f0a9644008cbabedfa882c813","4.1115365916E-08","No"
"0xf756830a117c9c76c80b61f5018f93f84a1c7fd1","1.721658367E-09","No"
"0xd5eb1feac15a9f22a8613f57ca343068b3852cac","5.586622543413E-06","No"
"0xa3c59a1fa80e256a88a1851b3f82f6ff5a64780d","1.8789053316E-07","No"
"0x656aaac748709a4007e406b91bd5442e06537e24","2.0724820277812E-05","No"
"0xefaad7b952d55d2e8c931288dec022a667f155b4","3.014467576249E-06","No"
"0xff40ad1151211fea1835fa65a23a129b7e151256","7.34526254608E-07","No"
"0x6e6bfdb5a3ea61f9bb21f30ea0f2419541eaeb17","3.11297942195E-07","No"
"0x253d1cdd8048f413fa7e830dc793a05740913c21","3.0559598496E-08","No"
"0x2a28c266e47827b6d0d7240009c0318562e4ac05","3.05676550583E-07","No"
"0xdabd24f7e49a02bb1a5797e8ba3ee150d6e30c24","7.4939622519E-08","No"
"0xcaaa59eb3f452256e2fe4e379dc7eda524e1b9cb","7.46585606001E-07","No"
"0x1bb3499f4428635c470363f76c4af146c5622809","3.51361385545E-07","No"
"0x55d9245895495bc38c5ed5faefae9cde5b50db70","9.9903697E-11","No"
"0x6087555a70e2f96b7838806e7743041e035a37e5","1.55400914484E-07","No"
"0x05ea2ea345067d5574d452677e5d4ce6d8976f22","1.895076839556E-05","No"
"0x4f3601f4c1633ee32e3cf5d57535013519b67d84","4.5984174191E-08","No"
"0x5689bb884692ca53dd02cd906d7801c76c6b3dc7","3.0621233931E-08","No"
"0xece98b4164f05fc557f125adcc5dc8d1b9ba0ed8","1.53110556731E-07","No"
